,created_at,date,tweet
40,1649807275000.0,2022-04-12 16:47:55,"@necessarygrowth Chickens, party animal, avax home, vmtycoon, vending machine"
41,1649807253000.0,2022-04-12 16:47:33,"$AVAX  #AVAX   possible head and shoulders but vice versa. I'm waiting for the green line, if it closes above I will open a LONG position.  https://t.co/Y8PMOhV865"
42,1649807235000.0,2022-04-12 16:47:15,"For my friends who may misunderstand my tweets. I’m Uber bullish crypto, mainly $AAVE $BTC $ETH @chikn_nft $EGG $AVAX, etc.  I do however think we need a massive cleansing for a year or two to get rid of the filth &amp; leeches"
43,1649807225000.0,2022-04-12 16:47:05,@dailynftpromo @LuvverNft Omg let me win!!  @HasibeKoyiit2 @Aksu90038021 @NehirGlsen1  #NFTGiveaway #AVAX $SOL #SOL #Solana #NFTs #NFTCollection
44,1649807220000.0,2022-04-12 16:47:00,"Lost $38,000 in 4 days Making it all back on $AVOGE  I call that a #BlackmintDub  #NoCap $AVAX $DOGE $CROGE $JOE $AVAINU $CULT @jamiekingston @1goonrich @AvogeGlobal  https://t.co/TriPPYhyMc"
45,1649807204000.0,2022-04-12 16:46:44,Metamorph #316 listed for 2.3 #AVAX on Kalao!   https://t.co/1iQKdE99Z4  https://t.co/FXnpVcIXas  https://t.co/ajmKGMN7Tl
46,1649807184000.0,2022-04-12 16:46:24,"And look, we run into our Alameda friends AGAIN as the top LP'ers in the $JOE $AVAX/$sAVAX pool. Some other heavy hitters up there as well  https://t.co/xmGZbqf2uN"
47,1649807183000.0,2022-04-12 16:46:23,@CryptoFeather_ @avax_cryptohunt  https://t.co/jE3dJsrAbO Done  https://t.co/AdCUX3TMGX
48,1649807180000.0,2022-04-12 16:46:20,@udiWertheimer @_nMoose @avalancheavax All whales are welcome to freeze their assets in BTC launched on #AVAX subnets.
49,1649807148000.0,2022-04-12 16:45:48,Good Food. Good Spaces. Good People.   To all that attended great things happen in collaborations 🙌  #AVAXHealth #Avalanche #AVAX #Foodies  https://t.co/tKn65B6dhF
50,1649807146000.0,2022-04-12 16:45:46,"Its your turn to bridge or you lose. I can't emphasize enough, big things happening over at $avax. @chikn_nft is at the center of it all. And $roostr is the next upon us. Need $fert! Need $egg. Need more!"
51,1649807138000.0,2022-04-12 16:45:38,Find me another gem 💎 like this one and I'll scoop it @blockblendIO  $BBL Crosschain Bridge for $AVAX $BNB #POLYGON $CRONOS $ETH WITH ANONYMOUS TRANSACTIONS ON THE BLOCKCHAIN 🤫🤫 FARMING AND STAKING LIVE🚀 5  MIL MC  https://t.co/tZUdpfTb0h
52,1649807137000.0,2022-04-12 16:45:37,令人惊讶的是，您如何从自己喜欢做的事情中赚取收入......只需玩热门游戏🎮并赚取凉爽的💵利润 #PULI #PULITOKEN #PULINFT #PULIFAM  @Puli_Token  🔷友情链接：  https://t.co/0p5G7Y76dU 🔷 https://t.co/be1i95bpK4  #RBXSamurai #RBXS #Polygon #AVAX #PULICONTEST #RBXS
53,1649807132000.0,2022-04-12 16:45:32,"Update - jumped into Lucky cat $BUSD and $AVAX miners , let’s see how it plays out #defi #miners #passiveincome"
54,1649807127000.0,2022-04-12 16:45:27,令人惊讶的是，您如何从自己喜欢做的事情中赚取收入......只需玩热门游戏🎮并赚取凉爽的💵利润 #PULI #PULITOKEN #PULINFT #PULIFAM  @Puli_Token  🔷友情链接：  https://t.co/0p5G7Y76dU 🔷 https://t.co/be1i95bpK4  #RBXSamurai #RBXS #Polygon #AVAX #PULICONTEST #RBXS  https://t.co/oYQpri5loj
55,1649807124000.0,2022-04-12 16:45:24,@owloper @GKNArslan14 #Avalance #AVAXNFT #avax #nft  https://t.co/T0g4O1TTPE
56,1649807118000.0,2022-04-12 16:45:18,$AVAX  long &amp; strong...  https://t.co/05SijkqSCO
57,1649807114000.0,2022-04-12 16:45:14,@gannfans #solano ve #avax için bilgi verebilir misiniz? Kapanış iyi geldi mi?
58,1649807107000.0,2022-04-12 16:45:07,Burhan (@periskop08) ile yeni projeleri araştırıyoruz 🥱  Bol X'li coinler için bu dönem uyku yok. Boğa geldiğinde sepetin halay sekmesi lazım 😉  #Bitcoin #Azero #Solana #Shıb #Gmt #Rıde #Tri  #Avax #Luna #Ethereum  #Fx #Forex  https://t.co/6qlDB0cBFr
59,1649807101000.0,2022-04-12 16:45:01,#Luna $84.63  $Luna #Avax $76.45  $Avax #Sol $103.28  $Sol
60,1649807099000.0,2022-04-12 16:44:59,@PhantomMedalli1 @mgnr_io @CryptoSeq @kevinsekniqi @el33th4xor @CollinCusce Could we call it a sidechain to Avax X or P? Maybe its just a L1...
61,1649807092000.0,2022-04-12 16:44:52,@EcaDolphin @hyp3rch1ll @ThorNodes Ok only 10% haha besides it will be lower when Avax network isn't congested.
62,1649807091000.0,2022-04-12 16:44:51,Holding up nicely  $AVAX / $BTC  https://t.co/o68MftkdvN
63,1649807019000.0,2022-04-12 16:43:39,GM! アバランチ版のstepnです🤩 まだ参加者急増中です！昨日１日で何万人か増えてます！！！乗り遅れる前に登録してみませんか😆？ #STEPN #fitmint #fitfi #MoveToEarn  #Avalanche          #AVAX      Step App (FitFi) Community Celebration  https://t.co/GDZQfQgS5R
64,1649807000000.0,2022-04-12 16:43:20,#EverRise $RISE  $0.001041 Δ +5.3% 🟢 $74.6M Market Cap +5.3% 51209 Hodlrs +0.1%  $0.001019 (#Eth) Δ +4.1% 🟢 $0.001070 (#BNB) Δ +2.5% 🟢 $0.001028 (#Polygon) Δ +5.4% 🟢 $0.001054 (#Ftm) Δ +8.6% 🟢 $0.001032 (#Avax) Δ +6.4% 🟢  🔐 $42.2M Staked TVL  $7.4M LP $1.9M Buyback  https://t.co/XB7DMw4nCj
65,1649806998000.0,2022-04-12 16:43:18,@avax_cryptohunt @rubymineavax @Kytanavh @ku
66,1649806991000.0,2022-04-12 16:43:11,The beginning of a new era. Get in or get out of the way. The M👀N is rising.  🤝🏻🚀🌖🫂 $Luna $Avax $UST #Lunatic #Wagmi #LFG  https://t.co/Zd1zQ6M54n
67,1649806985000.0,2022-04-12 16:43:05,@mgnr_io @CryptoSeq @kevinsekniqi @el33th4xor @CollinCusce   AVAX C-chain is a side-chain according to this? Isn’t that distinctly different from a subnet? Informative views appreciated
68,1649806963000.0,2022-04-12 16:42:43,@avax_cryptohunt @rubymineavax @skei8r @gunns_wins  https://t.co/wZR92rlglm
69,1649806949000.0,2022-04-12 16:42:29,@Cnote203 @AtlasNaaS Let's get it!! Maybe I can get some avax to reactivate and pay for my $thor nodes
70,1649806942000.0,2022-04-12 16:42:22,@6ogoo @0xCrypTookur Looking to save AVAX &amp; still buy every NFT. Not interested in happiness.
71,1649806913000.0,2022-04-12 16:41:53,I'm feeling FOMO as I listen $LUNA 🤝 $AVAX  https://t.co/xDm6EL6cSD
72,1649806886000.0,2022-04-12 16:41:26,Just compounded my #BR34P in #Silo. Very valuable utility token in the @F0r3x_Shark dynasty. Just tryna keep it consistent even when I don't have much money to invest. I keep gas fees!♻️  Website:  https://t.co/K5cyqa4bhN  #430aoncrypto #BTC #CRO #AVAX #FTX #TRX #BNB #ETH #DRIP💧  https://t.co/QLViTCyaOk
73,1649806874000.0,2022-04-12 16:41:14,#avax $avax #bitcoin #trx #kripto  https://t.co/68oBUENPEi
74,1649806816000.0,2022-04-12 16:40:16,Home is where my #AKITAINU is 🏠  #AVAX #ETH #BinanceBlockchainWeek #NFTCommunity #akita #GiveawayAlert #binance #Huobi  https://t.co/TBcsQRWcvp
75,1649806808000.0,2022-04-12 16:40:08,#EverRise $RISE #EverRiseV3 #EverRiseEDU #DeFi #Crypto #Cryptocurrency #NFTs #AVAX #Utility #EverSwap #BTC #Altseason2022 #EverBridge #NFTs  https://t.co/EV0Oz1eH3t
76,1649806805000.0,2022-04-12 16:40:05,See what good things can happen when you stop being so bullish!  This is the final bull trap.  Use it!  #theta #ftm #avax #HarmonyONE
77,1649806802000.0,2022-04-12 16:40:02,$ETH: $3.24 - $35.46      $SOL: $0.00052         #SolanaNFTS: $0.83 - $3.85      $AVAX: $0.08      $FTM: $0.0105      $MATIC: $0.02      $BTC: $0.62      $XRP: 0.00000828      $XLM: $0.00000190      $ALGO: $0.0700
78,1649806791000.0,2022-04-12 16:39:51,Power moves $avax $luna #avax  https://t.co/dF4KO3g1VB
79,1649806784000.0,2022-04-12 16:39:44,"Who do you surround yourself with??   If you’re the average of the 5 people you spend the most time with, then WAGMI! #AVAX #avaxFam   If you don’t know, get around @hoopdreamsbball @BubbaCrypto23 @necessarygrowth and see how your life changes!!   🙏🏼🙏🏼🙏🏼  https://t.co/4eue3yARFO"
80,1649806721000.0,2022-04-12 16:38:41,@RMoonOfficial #LTC #HIGH #AVAX
81,1649806702000.0,2022-04-12 16:38:22,"↑ #BZRX PRICE = 0,210429 Rank = #323 #AVAX = 364,16 $BZRX 1D: +115.16% CHANGING = 24,52 ▁▃▅"
82,1649806698000.0,2022-04-12 16:38:18,#EverRise $RISE  $0.001042 Δ +5.4% 🟢 $74.6M Market Cap +5.4% 51209 Hodlrs +0.1%  $0.001019 (#Eth) Δ +4.1% 🟢 $0.001072 (#BNB) Δ +2.8% 🟢 $0.001030 (#Polygon) Δ +5.6% 🟢 $0.001054 (#Ftm) Δ +8.5% 🟢 $0.001034 (#Avax) Δ +6.6% 🟢  🔐 $42.2M Staked TVL  $7.4M LP $1.9M Buyback  https://t.co/RFR5VoYEri
83,1649806698000.0,2022-04-12 16:38:18,@CryptoGodJohn Nothing smaller than top 25 market cap. Expect for it to be a painful few months for small altcoins. Like #luna #sol #avax #dot
84,1649806679000.0,2022-04-12 16:37:59,"@deBridgeFinance @avalancheavax Best scalable platform indeed, welcome to the #AVAX side!"
85,1649806608000.0,2022-04-12 16:36:48,@CryptoBoy55555 Avax.
86,1649806596000.0,2022-04-12 16:36:36,"AEdge Adobots are not normal bots...  First Utility : Automated Trading Bot linked to a CEX  Guess our next utility on discord, good luck 😎  #Matic #Ethereum  #BSC #SOL #BTC #AVAX #GameFi #NFT #opensea #NFTGiveaways  #NFTs #tradingstrategy @TheSandboxGame  https://t.co/vTVxdokASe"
87,1649806589000.0,2022-04-12 16:36:29,@kriptoreal1 A ; #AVAX  😇
88,1649806560000.0,2022-04-12 16:36:00,"@phoenix_fi @SourceD20 If the token being introduced is totally new (not avax or usdc, etc) what the expected launch price as well as the anticipated per nest payout time frame... weekly, monthly etc. There's currently a big difference in being paid out .225 fire vs .225 usdc per day."
89,1649806545000.0,2022-04-12 16:35:45,YOOOOOOO…  🔺$AVAX FAMILY…  🐓#ROOSTR MINT GUIDE @chikn_nft   🎥 “@darlingTdaniel THE GREAT”  #RoostrIsComing #AVAX #NFT
90,1649806511000.0,2022-04-12 16:35:11,@el33th4xor Thrilled to listen Hodl AVAX and LUNA in portfolio
91,1649806491000.0,2022-04-12 16:34:51,@adultarts @apa_nft @BoredApeYC @avalancheavax red ape from #AVAX has way more drip. that's an absolute yes
92,1649806485000.0,2022-04-12 16:34:45,AvaxSquad  https://t.co/Q93Pg4aMfD #AvaxSquad #NFTCommunity #nftart #draw #drawing #art #artwork #AVAXNFT #AvaxNftRush #Avalanche #AVAX  https://t.co/TI4odpQub9
93,1649806411000.0,2022-04-12 16:33:31,#BNBBULL #FTM #AVAX @Tunde @prince
94,1649806396000.0,2022-04-12 16:33:16,#EverRise $RISE  $0.001041 Δ +5.3% 🟢 $74.6M Market Cap +5.3% 51209 Hodlrs +0.1%  $0.001019 (#Eth) Δ +4.1% 🟢 $0.001072 (#BNB) Δ +2.8% 🟢 $0.001027 (#Polygon) Δ +5.4% 🟢 $0.001053 (#Ftm) Δ +8.4% 🟢 $0.001033 (#Avax) Δ +6.5% 🟢  🔐 $42.2M Staked TVL  $7.4M LP $1.9M Buyback  https://t.co/3MSPiZP9Fb
95,1649806372000.0,2022-04-12 16:32:52,"🚨🚨🚨🚨🚨🚨🚨 190,000 #AVAX ($14,412,078 USD) delegated from unknown wallet to unknown wallet on P-Chain  Details  https://t.co/jUO9Sp3fWN"
96,1649806371000.0,2022-04-12 16:32:51,"@Crypton1881 @el33th4xor @decryptmedia With all due respect, I think you're missing something here: Emin's not in charge of making changes on the #AVAX NFT ecosystem. We are talking about a decentralized network with users building on it. The most he can do is give support to new projects, which is already been done."
97,1649806360000.0,2022-04-12 16:32:40,@avalancheavax When did the AVAX start to burn fees?
98,1649806359000.0,2022-04-12 16:32:39,Do Kwon pitch made me want more $Avax.  https://t.co/3KZoIqIop1
99,1649806324000.0,2022-04-12 16:32:04,"Cập nhật giá hằng ngày của $Flux :D  Price   Market cap $1.48 ​ $340,074,016.00 (#199) ​ Change (1h) Change (24h) Change (7d) 📈 +1.24% ​📈 +1.66% ​   📉 -20.54% ​ ​ $ADA $XRP $DOGE $USDC $DOT $BCH $LTC $LINK $ETC $AVAX $DAI $TRX $EOS $ATOM $XTZ $SHIB $NEAR $BTC $ETH $KDA  https://t.co/KVajKrSJg6"
100,1649806315000.0,2022-04-12 16:31:55,APA #9184 - Common - has sold for 2.85 AVAX!  https://t.co/ErsH22U3LY 🚀 @apa_nft #Avalanche  https://t.co/DUwwHSgSY8  https://t.co/qeCUHbKCVw
101,1649806314000.0,2022-04-12 16:31:54,@369cyberpunk @benrola @CelsiusNetwork @VauldOfficial I can do way more with the dapps built in luna or avax than just staking hex.
102,1649806252000.0,2022-04-12 16:30:52,Do is over here playing 4d chess. Offers assistant to build out avalanche network as they adopt ust and other terra stables. This decentralizes terra stables places less risk on any single platform. Terra provides help and ensures longevity of both networks. #LUNA #AVAX
103,1649806251000.0,2022-04-12 16:30:51,Sell $AVAX! Red days ahead 🤮  https://t.co/xtSrbiaM72
104,1649806214000.0,2022-04-12 16:30:14,#Roostr is coming in 2 days!  -Price 1.75 #avax  -Where? 👉  https://t.co/1ImtZCXdwK -Roostr’s produce $FERT   -Blue Chip  #AVAX  #GameFi -There community in Unmatched.👊  https://t.co/AKTQ3T7uxP TriTokenEcosystem Medium Article on #Roostr👇  https://t.co/a08uEAcOvf  https://t.co/stVenLdkJG
105,1649806202000.0,2022-04-12 16:30:02,$ETH: $4.36 - $47.76      $SOL: $0.00052         #SolanaNFTS: $0.83 - $3.85      $AVAX: $0.08      $FTM: $0.0094      $MATIC: $0.02      $BTC: $0.62      $XRP: 0.00000828      $XLM: $0.00000190      $ALGO: $0.0700
106,1649806202000.0,2022-04-12 16:30:02,#Luna $84.66  $Luna #Avax $76.25  $Avax #Sol $102.98  $Sol
107,1649806201000.0,2022-04-12 16:30:01,"Crypto Ape News: Top Cryptos To Watch Right Now – Avalanche (AVAX), Ripple (XRP) &amp; FIREPIN (FRPN) – CryptoMode  https://t.co/Gw4KDIHsaT ( https://t.co/1gK3rf7J9E) ( https://t.co/VGV8kJbkJI)When getting into the world of ... #Cryptocurrency #Crypto #CryptoNews"
108,1649806197000.0,2022-04-12 16:29:57,@CryptoFeather_ @avax_cryptohunt  https://t.co/3y7ISn95W2
109,1649806189000.0,2022-04-12 16:29:49,@avax_cryptohunt @rubymineavax @mcneeka @Taejnii_Ejik
110,1649806179000.0,2022-04-12 16:29:39,"BTC: $40,155.43(+$499.29, 1.26%) ETH: $3,029.84(+$28.14, 0.94%) USDT: $1 BNB: $414.54(+$3.00, 0.73%) USDC: $1 XRP: $0.72(+$0.02, 2.32%) SOL: $103.24(+$1.40, 1.37%) ADA: $0.96(+$0.01, 1.32%) LUNA: $84.93(+$1.27, 1.52%) AVAX: $76.37(+$1.16, 1.54%)"
111,1649806169000.0,2022-04-12 16:29:29,"@ConvexMonster @PaikCapital Why do you think we’re gonna pump mate any reason, also what about the old avax is that a good coin"
112,1649806150000.0,2022-04-12 16:29:10,@NoKapRich We on the same shit 😂 bought into AVAX last week at $97 … you know what they say buy high sell higher
113,1649806138000.0,2022-04-12 16:28:58,Can we get to 500 follows before the pre-sale on Friday? #DeFi #DeFiProject #cryptocurrency #Crypto #AVAX #blockchain #btc #Token #Ethereum #solana #NFTCommunity  https://t.co/dBdWvuoFy7
114,1649806129000.0,2022-04-12 16:28:49,avalanche subnets ...  $avax
115,1649806119000.0,2022-04-12 16:28:39,@RobinhoodApp AVAX
116,1649806104000.0,2022-04-12 16:28:24,5 MORE OG SPOTS🤘👓🤟  Celebrating the Whitepaper:  ✅RT pinned Post ✅Follow @gokudoparadise ✅Tag some Nerds  ➡️Results in 12-24 Hours  🤘👓🤟ERC721B🤘👓🤟 SEEEEND IT 🤘👓🤟 #NFTGiveaway #Giveaways #Concours #NFTWhitelist #Freemint #NFT #omnichain #layerzero #Eth #BSC #AVAX  https://t.co/Nnpoaq8XF2
117,1649806094000.0,2022-04-12 16:28:14,#EverRise $RISE  $0.001040 Δ +5.2% 🟢 $74.5M Market Cap +5.2% 51210 Hodlrs +0.1%  $0.001019 (#Eth) Δ +4.1% 🟢 $0.001073 (#BNB) Δ +2.8% 🟢 $0.001026 (#Polygon) Δ +5.2% 🟢 $0.001050 (#Ftm) Δ +8.1% 🟢 $0.001029 (#Avax) Δ +6.1% 🟢  🔐 $42.1M Staked TVL  $7.4M LP $1.9M Buyback  https://t.co/baFk9vm630
118,1649806092000.0,2022-04-12 16:28:12,"@CryptoRusk0f @tinydinosnft salut pour le bridge avax vers ether il suffit de cliquer sur ""traverse"" et ensuite le nft se trouvera sur notre wallet ether de notre Metamask c'est bien ca ?"
119,1649806080000.0,2022-04-12 16:28:00,"OMG - 48 hours left, this thread is fire - can't wait! Hope you are not sleeping on this mint! Check out the discord, the excitement is real👩‍🌾🥚🐓  @chikn_nft   #Roostr #AVAX #NFTStaking #NFTGame $EGG $FERT $AVAX  https://t.co/JUabnqz2vy  https://t.co/SCZqodSzqr"
120,1649806072000.0,2022-04-12 16:27:52,Over 1.5k listening to @stablekwon and @el33th4xor talk about the strategic alignment of @avalancheavax and @terra_money.  $UST #AVAX $BTC  https://t.co/cXUPgJnlRc
121,1649806064000.0,2022-04-12 16:27:44,@SoccerFan_io : #AVAX #DAO #MINA @MeBoxBSC @Phemex_official @007xAlpha
122,1649806042000.0,2022-04-12 16:27:22,"@LifeAesthetics @kevinsekniqi @TeddyRoosevalt @CryptoCred And that is precisely why the team strives to find multiple solutions to that. No one says that the #AVAX community doesn't listen to its users; just the opposite.  If you are going to point out ""problems"", at least do it about something that the team is not aware of."
123,1649806039000.0,2022-04-12 16:27:19,@jamiekingston @AvaCatAVAX the next meme avax.lp lock 3 month  https://t.co/AoCG7H8oI8
124,1649806002000.0,2022-04-12 16:26:42,@RAZMOLITO @omnimosquitoes Is it only me or I can’t transfer my avax mosquito to eth 🙄
